FATES_NPP_PF,FATES_RECRUITMENT_PF,FATES_NPLANT_PF,FATES_MORTALITY_PF,FATES_NPATCHES,FATES_NCOHORTS,FATES_VEGC_PF,FATES_SEED_BANK_TRS,FATES_SEEDLING_POOL_TRS,FATES_SEEDS_IN,FATES_SEEDS_IN_LOCAL,date,simYr
3.176661422799043e-8,0.012831225991249084,0.0791606605052948,0.001462440937757492,10,195.8709716796875,31.167125701904297,5.90028939768672e-4,0.0024427049793303013,7.338184504490641e-10,0,1904-11-01,5
3.110888613377938e-8,0.012293708510696888,0.07903216779232025,0.0014591723447665572,10,198,31.174137115478516,5.113501101732254e-4,0.0025093804579228163,7.300269277976668e-10,0,1904-12-01,5
3.509752843910974e-8,0.012635738588869572,0.07892212271690369,0.001456424593925476,10,197.25807189941406,31.184589385986328,3.256328927818686e-4,0.002710148226469755,8.644910343136303e-10,0,1905-01-01,6
2.9616373353746894e-8,0.012252512387931347,0.07899893075227737,0.0014571452047675848,10,197.03225708007812,31.187850952148438,4.3455479317344725e-4,0.0025853991974145174,6.782537309568681e-10,0,1905-02-01,6
3.300533535366412e-8,0.01238704752177,0.07894376665353775,0.0014556603273376822,10,198.42857360839844,31.19902229309082,6.713619804941118e-4,0.0023523427080363035,7.502978238704827e-10,0,1905-03-01,6
2.184584424469449e-8,0.004662076476961374,0.07893740385770798,0.0014553191140294075,10,195.09677124023438,31.196664810180664,8.74170393217355e-4,0.002128856023773551,3.056030428716383e-10,0,1905-04-01,6
2.021375244964929e-8,0.0037359194830060005,0.07885413616895676,0.0014537024544551969,10,194.6666717529297,31.17037582397461,9.696141933090985e-4,0.00203555915504694,2.5486657229123466e-10,0,1905-05-01,6
2.956964806344331e-8,0.010120170190930367,0.07902872562408447,0.0014568989863619208,10,200.25807189941406,31.162761688232422,0.0011411653831601143,0.0018232854781672359,6.582956402212403e-10,0,1905-06-01,6
3.179197349822971e-8,0.0096302153542637825,0.07910051196813583,0.0014580906135961413,10,200.36666870117188,31.167768478393555,0.0011189240030944347,0.0018628956750035286,7.352165543039746e-10,0,1905-07-01,6
3.0606091883100817e-8,0.010631307028234005,0.0792345255613327,0.0014600205468013883,10,198.25807189941406,31.174175262451172,8.798437775112689e-4,0.0021199339535087347,7.08017477979439e-10,0,1905-08-01,6
