sp,FRUIT_DRY,N_SEEDFULL,DSPR_DRY,DRY_MASS
ficubu,NA,NA,NA,NA
ficuc1,NA,NA,NA,NA
ficuc2,NA,NA,NA,NA
ficuci,NA,NA,NA,NA
ficuin,3.05618,231.6,0.001945,3.05618
ficuma,NA,NA,NA,NA
ficuob,2.264165,251.0892857,0.001503125,2.264165
ficupe,0.10434,124.3333333,NA,0.10434
ficupo,0.88828,148.8,0,0.88828
ficuto,NA,NA,NA,NA
ficutr,NA,NA,NA,NA
ficuyo,NA,NA,NA,NA
fissfe,NA,NA,0.485966667,0.485966667
forsmy,NA,NA,NA,NA
forsvi,3.7874,22,0.027865,3.7874
gar2in,1.591008,1.72,0.615548,1.591008
gar2ma,11.77958,1.88,3.595890667,11.77958
geniam,55.52925,254.4444444,0.098952778,55.52925
geonin,0.049555,1,0.03658,0.049555
gnetle,6.157220143,1,4.621675643,6.157220143
goualu,NA,NA,NA,NA
guapst,0.17472,1,0.118306667,0.17472
guargl,NA,NA,NA,NA
guargr,8.872455,5.55,0.381905833,8.872455
guargu,1.3577,2.85,0.09892333,1.3577
guarpt,NA,NA,NA,NA
guarsp,NA,NA,NA,NA
guatab,NA,NA,NA,NA
guatam,0.15747,1,0.103955,0.15747
guatdu,0.077825,1,0.05055,0.077825
guazul,1.747571429,60.17380952,0.003665079,1.747571429
guetcr,NA,NA,NA,NA
guetfo,NA,NA,NA,NA
gustsu,107.0369852,11.8015873,6.042451455,107.0369852
hameax,NA,NA,NA,NA
hamepa,0.035316,197.24,0.015404,0.035316
hampap,NA,NA,NA,NA
hassfl,0.029006667,1.133333333,0.014313333,0.029006667
hedybo,NA,NA,NA,NA
heisac,0.298973333,1,0.048571111,0.298973333
heisco,0.405646667,1,0.236878333,0.405646667
heliam,NA,NA,NA,NA
henrfa,NA,NA,NA,NA
henrsu,NA,NA,NA,NA
herrpu,8.716218667,16.89333333,0.258748333,8.716218667
hetela,NA,NA,0.064733333,0.064733333
hippvo,0.890342857,5.314285714,0.053492083,0.890342857
hirafa,NA,NA,NA,NA
hiragr,NA,NA,0.03294,0.03294
hiraqu,NA,NA,NA,NA
hirare,NA,NA,0.02497,0.02497
hirtam,0.57038,1,0.34125,0.57038
