sp,latin
leongl,Leonia glycycarpa
lic12,Licaria sp.2
lic1ex,Licaria excelsa
lic1mi,Licaria misantlae
lica1,Licania sp.1
lica4,Licania coba
licaaf,Licania affinis
licaar,Licania arborea
licacr,Licania cruegeriana
licafa,Licania fasciculata
licahy,Licania hypoleuca
licaka,Licania kallunkii
licama,Licania macrocarpa
licamo,Licania morii
licapl,Licania platypus
lindla,Lindackeria laurina
loncat,Lonchocarpus atropurpureus
loncla,Lonchocarpus heptaphyllus
loncol,Lonchocarpus oliganthus
lopida,Pavonia dasypetala
lozapi,Lozania pittieri
luehse,Luehea seemannii
luehsp,Luehea speciosa
lunapa,Lunania parviflora
lycima,Lycianthes maxonii
mabeoc,Mabea occidentalis
mac1co,Macrolobium costaricense
mac1pi,Macrolobium pittieri
machbi,Machaerium biovulatum
maclti,Maclura tinctoria
macosp,Macoubea mesoamericana
macrgl,Macrocnemum roseum
malmdi,Malmea dimera
malmsp,Mosannona garwoodii
malois,Malouetia isthmica
malpal,Malpighia albiflora
malpro,Malpighia romeroana
mammim,Mammea immansueta
mangin,Mangifera indica
mani1,Manilkara sp.1
manibi,Manilkara bidentata
maniza,Manilkara zapota
maprgu,Maprounea guianensis
maquco,Maquira guianensis
mar11,Marila sp.1
mar13,Marila sp.3
mar1do,Marila domingensis
mar1l1,Marila lactogena
mar1la,Marila laxiflora
mar1pl,Marila pluricostata
marapa,Maranthes panamensis
margno,Margaritaria nobilis
mataap,Matayba apetala
matagl,Matayba glaberrima
matasc,Matayba scrobiculata
matiex,Matisia exalata
matije,Matisia jefensis
matisa,Matisia sanblasensis
maynod,Mayna odorata
mayt1,Maytenus sp.1
maytsc,Maytenus schippii
mel4,Unidentified sp.4
melig1,Meliosma hoja_grande
meligl,Meliosma glabrata
meligr,Meliosma grandiflora
meliid,Meliosma idiopoda
melioc,Meliosma occidentalis
mico10,Miconia sp.10
mico14,Miconia sp.14
mico3,Miconia sp.3
mico5,Miconia sp.5
mico9,Miconia sp.9
micoaf,Miconia affinis
micoar,Miconia argentea
micoce,Miconia centronioides
micodo,Miconia dorsiloba
micoel,Miconia elata
micoho,Miconia hondurensis
micoim,Miconia impetiolaris
micoli,Miconia ligulata
micomu,Miconia multispicata
micone,Miconia nervosa
micopo,Miconia poeppigii
micopr,Miconia prasina
micopu,Miconia punctata
micore,Miconia reducens
micose,Miconia serrulata
micosi,Miconia simplex
micotr,Miconia trinervia
micoum,Miconia umbriensis
micrme,Micropholis melinoniana
micrve,Micropholis venulosa
minqgu,Minquartia guianensis
mollda,Mollinedia darienensis
mollpi,Mollinedia pinchotiana
mort1,Mortoniodendron sp.1
mortan,Mortoniodendron anisophyllum
mosqja,Mosquitoxylum jamaicense
mour1,Mouriri coba
mourco,Mouriri cf.completens
mourex,Mouriri aff.exilis
mourmy,Mouriri myrtilloides
mourpa,Mouriri panamensis
muntca,Muntingia calabura
myr21,Myrciaria sp.1
myr22,Myrciaria sp.2
myr2fl,Myrciaria floribunda
myrc4,Myrcia sp.4
myrc5,Myrcia sp.5
myrc6,Myrcia sp.6
myrcga,Myrcia gatunensis
myrcpa,Myrcia panamensis
myrcsp,Myrcia splendens
myrcze,Aulomyrcia zetekiana
myrilo,Myriocarpa longipes
myrofr,Myrospermum frutescens
myrs1,Myrsine sp.1
myt11,Unidentified sp.11
myt13,Unidentified sp.13
myt15,Unidentified sp.15
myt16,Unidentified sp.16
myt17,Unidentified sp.17
myt18,Unidentified sp.18
myt19,Unidentified sp.19
myt20,Unidentified sp.20
myt21,Unidentified sp.21
naucca,Naucleopsis capirensis
naucst,Naucleopsis straminea
naucul,Naucleopsis ulei
nect11,Nectandra sp.11
nect12,Nectandra sp.12
nect3,Nectandra sp.3
nect9,Nectandra sp.9
nectci,Nectandra cissiflora
nectcu,Nectandra cuspidata
nectgl,Nectandra lineata
nectma,Nectandra martinicensis
nectpu,Nectandra purpurea
nects1,Nectandra fuzzy
nects3,Nectandra sp.4_(tiny_leaf)
neea1,Neea sp.1
neea2,Neea sp.2
neea3,Neea sp.3
neea4,Neea sp.4
neea6,Neea roja
neea7,Neea sp.7
neeaam,Neea amplifolia
neeade,Neea delicatula
neeala,Neea laetevirens
nyc1,Guapira campochagres
ochrpy,Ochroma pyramidale
ocot13,Ocotea sp.13
ocot14,Ocotea sp.14
ocot17,Ocotea sp.17
ocot18,Ocotea sp.18
ocot19,Ocotea sp.19
ocot5,Ocotea sp.5
ocot6,Ocotea sp.6
ocot7,Ocotea sp.7
ocot9,Ocotea sp.9
ocotar,Ocotea arcuata
ocotce,Ocotea cernua
ocotde,Ocotea dendrodaphne
ocoten,Ocotea endresiana
ocotha,Ocotea hartshorniana
ocothe,Ocotea helicterifolia
ocotir,Ocotea insularis
ocotjo,Ocotea jorge-escobarii
ocotle,Ocotea leucoxylon
ocotob,Ocotea oblonga
ocotpa,Ocotea atirrensis
ocotpu,Ocotea puberula
ocotru,Ocotea rubrinervis
ocotto,Ocotea tonduzii
ocotve,Ocotea veraguensis
ocotwh,Ocotea whitei
oenoma,Oenocarpus mapora
olmeas,Trophis caucana
oreo2,Oreopanax sp.2
oreoca,Oreopanax capitatus
ormoam,Ormosia amazonica
ormocr,Ormosia coccinea
ormoma,Ormosia macrocalyx
ostepl,Osteophloeum platyspermum
otobac,Otoba acuminata
otobno,Otoba novogranatensis
otobpa,Otoba parvifolia
ouraco,Ouratea prominens
ourakn,Ouratea knappiae
ouralu,Ouratea lucens
oxanlo,Oxandra longipetala
oxanpa,Oxandra panamensis
paligu,Palicourea guianensis
panosu,Panopsis suaveolens
par21,Parathesis sp.1
par2am,Parathesis amplifolia
parkni,Parkia nitida
parmce,Parmentiera cereifera
pentco,Pentagonia costaricensis
pentgy,Pentagonia gymnopoda
pentma,Pentagonia macrophylla
pentpa,Pentagonia parvifolia
peraar,Pera arborea
pere1,Perebea sp.1
perean,Perebea angustifolia
peregu,Perebea guianensis
perexa,Perebea xanthochyma
phoe1,Phoebe sp.1
phoeci,Cinnamomum triplinerve
phylac,Phyllanthus acuminatus
picrla,Picramnia latifolia
pipe5,Piper sp.5
pipe6,Piper sp.6
pipe7,Piper sp.7
pipe8,Piper sp.8
pipea1,Piper arboreum
pipea4,Piper augustum
pipeae,Piper aequale
pipeau,Piper auritum
pipeca,Piper schiedeanum
pipeco,Piper cordulatum
pipecu,Piper colonense
pipegr,Piper grande
pipehi,Piper hispidum
pipeim,Piper imperialis
pipelo,Piper longispicum
pipepe,Piper perlasense
pipere,Piper reticulatum
pit1ba,Abarema barbouriana
pit1di,Zygia dinizii
pit1ma,Abarema macradenia
pit1ru,Cojoba rufescens
pla1pi,Platymiscium pinnatum
pla2el,Platypodium elegans
ple1li,Pleuranthodendron lindenii
