sp,cen_interval,tStart,tEnd,tCenInt,Nt0,Nt1,S_t1,M_t1,R_t1,site
tropra,4,1995-05-20,2000-05-14,4.983606557377049,237,217,191,2.008588136974139e-5,1.1352889469853829e-5,bci
tropra,5,2000-05-14,2005-05-29,5.041095890410959,217,193,170,2.0514379748993295e-5,1.0038951792060549e-5,bci
tropra,6,2005-05-29,2010-05-17,4.967123287671233,193,169,146,2.1089830328374055e-5,1.0320555267076665e-5,bci
tropra,7,2010-05-17,2015-07-09,5.144808743169399,169,153,127,1.8258796180737754e-5,1.1303064302361467e-5,bci
protpa,1,1982-01-01,1985-05-03,3.334246575342466,2405,2510,2170,1.4606873222307515e-4,2.1133348491849172e-4,bci
protpa,2,1985-05-03,1990-08-10,5.271232876712329,2510,2635,2139,1.5003346325186877e-4,2.00583821490369e-4,bci
protpa,3,1990-08-10,1995-05-20,4.7753424657534245,2635,2571,2278,1.5824148313847906e-4,1.2987326207163687e-4,bci
protpa,4,1995-05-20,2000-05-14,4.983606557377049,2571,2464,2200,1.5830257414550542e-4,1.1264657567227339e-4,bci
protpa,5,2000-05-14,2005-05-29,5.041095890410959,2464,2417,2108,1.502087088408456e-4,1.303777837972508e-4,bci
protpa,6,2005-05-29,2010-05-17,4.967123287671233,2417,2556,2075,1.4621996632904847e-4,2.0564854913529917e-4,bci
protpa,7,2010-05-17,2015-07-09,5.144808743169399,2556,2634,2153,1.6767557115611486e-4,2.0012890750891127e-4,bci
ficuto,1,1982-01-01,1985-05-03,3.334246575342466,13,9,8,3.523190537925054e-6,7.046381075850108e-7,bci
ficuto,2,1985-05-03,1990-08-10,5.271232876712329,9,4,4,2.566645461626433e-6,0,bci
ficuto,3,1990-08-10,1995-05-20,4.7753424657534245,4,2,2,1.0808686187600846e-6,0,bci
ficuto,4,1995-05-20,2000-05-14,4.983606557377049,2,0,0,4e-6,0,bci
ficuto,5,2000-05-14,2005-05-29,5.041095890410959,0,3,0,NaN,NaN,bci
ficuto,6,2005-05-29,2010-05-17,4.967123287671233,3,3,1,1.1905501634449234e-6,1.1905501634449234e-6,bci
ficuto,7,2010-05-17,2015-07-09,5.144808743169399,3,0,0,6e-6,0,bci
unonpi,1,1982-01-01,1985-05-03,3.334246575342466,498,492,399,6.405493349448965e-5,6.017281631300543e-5,bci
unonpi,2,1985-05-03,1990-08-10,5.271232876712329,492,468,353,6.006612349658214e-5,4.9694994259762204e-5,bci
unonpi,3,1990-08-10,1995-05-20,4.7753424657534245,468,386,335,6.329104274267127e-5,2.4269497593054398e-5,bci
unonpi,4,1995-05-20,2000-05-14,4.983606557377049,386,329,281,4.764678473834593e-5,2.178138730895814e-5,bci
unonpi,5,2000-05-14,2005-05-29,5.041095890410959,329,309,229,4.563497751018558e-5,3.6507982008148465e-5,bci
unonpi,6,2005-05-29,2010-05-17,4.967123287671233,309,349,234,3.3640491814162424e-5,5.1582087448382386e-5,bci
unonpi,7,2010-05-17,2015-07-09,5.144808743169399,349,419,260,3.8818930904635244e-5,6.935067431277533e-5,bci
maquco,1,1982-01-01,1985-05-03,3.334246575342466,905,949,792,7.0973039122495e-5,9.860855878081162e-5,bci
maquco,2,1985-05-03,1990-08-10,5.271232876712329,949,984,793,6.357384451418873e-5,7.783720706544902e-5,bci
maquco,3,1990-08-10,1995-05-20,4.7753424657534245,984,954,854,5.753695745627281e-5,4.425919804328678e-5,bci
maquco,4,1995-05-20,2000-05-14,4.983606557377049,954,920,843,4.677504126775216e-5,3.244755114970195e-5,bci
maquco,5,2000-05-14,2005-05-29,5.041095890410959,920,837,786,5.6569326447337674e-5,2.153011678219568e-5,bci
maquco,6,2005-05-29,2010-05-17,4.967123287671233,837,727,693,6.24326135790321e-5,1.474103376171591e-5,bci
maquco,7,2010-05-17,2015-07-09,5.144808743169399,727,623,587,5.92123696666602e-5,1.5226037914284052e-5,bci
gar2ma,1,1982-01-01,1985-05-03,3.334246575342466,542,561,496,2.8454000418104928e-5,4.020673972123523e-5,bci
gar2ma,2,1985-05-03,1990-08-10,5.271232876712329,561,433,363,8.893606851467087e-5,3.144204442437859e-5,bci
gar2ma,3,1990-08-10,1995-05-20,4.7753424657534245,433,330,302,6.293747144494222e-5,1.345228397296475e-5,bci
gar2ma,4,1995-05-20,2000-05-14,4.983606557377049,330,336,299,1.2936057975002612e-5,1.543981113145473e-5,bci
gar2ma,5,2000-05-14,2005-05-29,5.041095890410959,336,352,310,1.0650872374942568e-5,1.7205255374907224e-5,bci
gar2ma,6,2005-05-29,2010-05-17,4.967123287671233,352,344,308,1.8673537436724907e-5,1.5278348811865834e-5,bci
gar2ma,7,2010-05-17,2015-07-09,5.144808743169399,344,331,301,1.7627016239249107e-5,1.2297918306452867e-5,bci
macrgl,1,1982-01-01,1985-05-03,3.334246575342466,62,69,59,1.8308501546593533e-6,6.10283384886451e-6,bci
macrgl,2,1985-05-03,1990-08-10,5.271232876712329,69,71,56,5.358363295427301e-6,6.182726879339193e-6,bci
macrgl,3,1990-08-10,1995-05-20,4.7753424657534245,71,63,58,5.888170373906034e-6,2.264680913040782e-6,bci
macrgl,4,1995-05-20,2000-05-14,4.983606557377049,63,49,44,8.75605779418e-6,2.3042257353105263e-6,bci
macrgl,5,2000-05-14,2005-05-29,5.041095890410959,49,50,42,2.9513681017546327e-6,3.3729921162910087e-6,bci
macrgl,6,2005-05-29,2010-05-17,4.967123287671233,50,42,35,6.928962968216246e-6,3.233516051834248e-6,bci
macrgl,7,2010-05-17,2015-07-09,5.144808743169399,42,44,33,3.846626769005953e-6,4.701432717673942e-6,bci
randar,1,1982-01-01,1985-05-03,3.334246575342466,656,672,573,5.216433946905771e-5,6.222011575224957e-5,bci
randar,2,1985-05-03,1990-08-10,5.271232876712329,672,645,530,5.9182248161764355e-5,4.792928548311902e-5,bci
randar,3,1990-08-10,1995-05-20,4.7753424657534245,645,614,550,4.233145568712054e-5,2.8518033305007525e-5,bci
randar,4,1995-05-20,2000-05-14,4.983606557377049,614,522,472,6.312870512991951e-5,2.2228417299267432e-5,bci
randar,5,2000-05-14,2005-05-29,5.041095890410959,522,487,438,3.57100152242166e-5,2.0830842214126347e-5,bci
