sp,cen_interval,tStart,tEnd,tCenInt,Nt0,Nt1,S_t1,M_t1,R_t1,site
tet4jo,7,2010-05-17,2015-07-09,5.144808743169399,5,1,1,2.6862397223820403e-6,0,bci
pse1se,1,1982-01-01,1985-05-03,3.334246575342466,23,18,18,3.260446599837674e-6,0,bci
pse1se,2,1985-05-03,1990-08-10,5.271232876712329,18,19,12,2.6653104594793496e-6,3.109528869392575e-6,bci
pse1se,3,1990-08-10,1995-05-20,4.7753424657534245,19,17,16,1.3431923706674816e-6,4.4773079022249386e-7,bci
pse1se,4,1995-05-20,2000-05-14,4.983606557377049,17,17,14,1.2991331244349432e-6,1.2991331244349432e-6,bci
pse1se,5,2000-05-14,2005-05-29,5.041095890410959,17,35,15,8.337774031490667e-7,8.337774031490668e-6,bci
pse1se,6,2005-05-29,2010-05-17,4.967123287671233,35,44,23,5.67369266543442e-6,9.928962164510235e-6,bci
pse1se,7,2010-05-17,2015-07-09,5.144808743169399,44,33,27,7.968896535505957e-6,2.812551718413867e-6,bci
tocopi,1,1982-01-01,1985-05-03,3.334246575342466,8,10,8,0,NaN,bci
tocopi,2,1985-05-03,1990-08-10,5.271232876712329,10,9,9,3.9578798563087106e-7,0,bci
tocopi,3,1990-08-10,1995-05-20,4.7753424657534245,9,8,8,4.3853658802362784e-7,0,bci
tocopi,4,1995-05-20,2000-05-14,4.983606557377049,8,8,8,0,NaN,bci
tocopi,5,2000-05-14,2005-05-29,5.041095890410959,8,8,8,0,NaN,bci
tocopi,6,2005-05-29,2010-05-17,4.967123287671233,8,8,8,0,NaN,bci
tocopi,7,2010-05-17,2015-07-09,5.144808743169399,8,7,7,4.0993061021509545e-7,0,bci
sch2mo,1,1982-01-01,1985-05-03,3.334246575342466,1,1,1,0,NaN,bci
sch2mo,2,1985-05-03,1990-08-10,5.271232876712329,1,0,0,2e-6,0,bci
sch2mo,3,1990-08-10,1995-05-20,4.7753424657534245,0,0,0,NaN,NaN,bci
sch2mo,4,1995-05-20,2000-05-14,4.983606557377049,0,0,0,NaN,NaN,bci
sch2mo,5,2000-05-14,2005-05-29,5.041095890410959,0,0,0,NaN,NaN,bci
sch2mo,6,2005-05-29,2010-05-17,4.967123287671233,0,0,0,NaN,NaN,bci
sch2mo,7,2010-05-17,2015-07-09,5.144808743169399,0,0,0,NaN,NaN,bci
pochse,1,1982-01-01,1985-05-03,3.334246575342466,24,24,22,1.2364175385699827e-6,1.2364175385699827e-6,bci
pochse,2,1985-05-03,1990-08-10,5.271232876712329,24,23,23,3.8598876586757847e-7,0,bci
pochse,3,1990-08-10,1995-05-20,4.7753424657534245,23,22,21,8.680202095254184e-7,4.340101047627092e-7,bci
pochse,4,1995-05-20,2000-05-14,4.983606557377049,22,20,20,8.334929883971748e-7,0,bci
pochse,5,2000-05-14,2005-05-29,5.041095890410959,20,18,18,8.273368683151406e-7,0,bci
pochse,6,2005-05-29,2010-05-17,4.967123287671233,18,18,17,4.1189008434236564e-7,4.1189008434236564e-7,bci
pochse,7,2010-05-17,2015-07-09,5.144808743169399,18,19,17,3.977435811940651e-7,7.954871623881302e-7,bci
ocotpu,1,1982-01-01,1985-05-03,3.334246575342466,270,265,219,3.28629549118112e-5,2.9641096587123827e-5,bci
ocotpu,2,1985-05-03,1990-08-10,5.271232876712329,265,265,212,2.1967876902350122e-5,2.1967876902350122e-5,bci
ocotpu,3,1990-08-10,1995-05-20,4.7753424657534245,265,246,220,2.0257598913739413e-5,1.1704390483493882e-5,bci
ocotpu,4,1995-05-20,2000-05-14,4.983606557377049,246,206,184,2.7849658790431086e-5,9.882136990152965e-6,bci
ocotpu,5,2000-05-14,2005-05-29,5.041095890410959,206,196,159,2.0630865379243478e-5,1.6241319553872525e-5,bci
ocotpu,6,2005-05-29,2010-05-17,4.967123287671233,196,205,151,2.0053662707809083e-5,2.4064395249370897e-5,bci
ocotpu,7,2010-05-17,2015-07-09,5.144808743169399,205,203,163,1.786907376515781e-5,1.7018165490626484e-5,bci
cupasy,1,1982-01-01,1985-05-03,3.334246575342466,959,1090,936,1.391364159137042e-5,9.316090456830628e-5,bci
cupasy,2,1985-05-03,1990-08-10,5.271232876712329,1090,1218,1045,1.7366711808784918e-5,6.676535873155091e-5,bci
cupasy,3,1990-08-10,1995-05-20,4.7753424657534245,1218,1333,1201,7.159521057350712e-6,5.559157526884082e-5,bci
